time(s),preprocessor,alamAPI_API,alamAPI_DB
222,356.7,45.71,161.1
223,356.7,45.71,161.1
224,356.7,45.71,161.1
225,356.7,45.71,161.1
226,356.7,45.71,161.1
227,356.7,45.71,161.1
228,356.7,45.71,161.1
229,356.7,45.71,161.1
230,356.7,45.71,161.1
231,356.7,45.71,161.1
232,356.7,45.71,161.1
233,356.7,45.71,161.1
234,356.7,45.71,161.1
235,356.7,45.71,161.1
236,356.7,45.71,161.1
237,356.7,45.71,161.1
238,356.7,45.71,161.1
239,356.7,45.71,161.1
240,356.7,45.71,161.1
241,356.7,45.71,161.1
242,356.7,45.71,161.1
243,356.7,45.71,161.1
244,356.7,45.71,161.1
245,356.7,45.71,161.1
246,356.7,45.71,161.2
247,356.7,45.71,161.1
248,356.7,45.71,161.1
249,356.7,45.71,161.1
250,356.7,45.71,161.1
251,356.7,45.71,161.1
252,356.7,45.71,161.1
253,356.7,45.71,161.1
254,356.7,45.71,161.1
255,356.7,45.71,161.1
256,356.7,45.71,161.1
257,356.7,45.71,161.1
258,356.7,45.71,161.1
259,356.7,45.71,161.2
260,356.7,45.71,161.1
261,356.7,45.71,161.1
262,356.7,45.71,161.1
263,356.7,45.71,161.1
264,356.7,45.71,161.1
265,356.7,45.71,161.1
266,356.7,45.71,161.1
267,356.7,45.71,161.1
268,356.7,45.71,161.1
269,356.7,45.71,161.1
270,356.7,45.71,161.1
271,356.7,45.71,161.1
272,356.7,45.71,161.1
273,356.7,45.71,161.2
274,356.7,45.71,161.1
275,356.7,45.71,161.1
276,356.7,45.71,161.1
277,356.7,45.71,161.1
278,356.7,45.71,161.1
279,356.7,45.71,161.1
280,356.7,45.71,161.1
281,356.7,45.71,161.1
282,356.7,45.71,161.2
283,356.7,45.71,161.1
284,356.7,45.71,161.1
285,356.7,45.71,161.1
286,356.7,45.71,161.1
287,356.7,45.71,161.1
288,356.7,45.71,161.1
289,356.7,45.71,161.1
290,356.7,45.71,161.1
291,356.7,45.71,161.1
292,356.7,45.71,161.2
293,356.7,45.71,161.1
294,356.7,45.71,161.1
295,356.7,45.71,161.1
296,356.7,45.71,161.1
297,356.7,45.71,161.1
298,356.7,45.71,161.1
299,356.7,45.71,161.1
300,356.7,45.71,161.1
301,356.7,45.71,161.1
302,356.7,45.71,161.1
303,356.7,45.71,161.2
304,356.7,45.71,161.1
305,356.7,45.71,161.1
306,356.7,45.71,161.1
307,356.7,45.71,161.1
308,356.7,45.71,161.1
309,356.7,45.71,161.1
310,356.7,45.71,161.1
311,356.7,45.71,161.1
312,356.7,45.71,161.1
313,356.7,45.71,161.1
