time(s),preprocessor,alamAPI_API,alamAPI_DB
226,0.01,0.22,0.24
227,0.01,0.18,0.18
228,0.01,0.17,0.17
229,0.01,0.18,0.24
230,0.01,0.15,0.22
231,0.01,0.24,0.27
232,0.01,0.13,0.15
233,0.01,0.12,0.15
234,0.01,0.16,0.19
235,0.01,0.2,0.23
236,0.01,0.12,0.17
237,0.01,0.12,0.24
238,0.01,0.13,0.15
239,0.01,0.17,0.23
240,0.01,0.18,0.23
241,0.01,0.14,0.22
242,0.01,0.15,0.18
243,0.01,0.17,0.36
244,0.01,0.16,0.17
245,0.01,0.22,0.58
246,0.01,0.15,0.17
247,0.01,0.16,0.25
248,0.01,0.18,0.24
249,0.01,0.16,0.24
250,0.01,0.23,0.59
251,0.01,0.15,0.18
252,0.01,0.14,0.21
253,0.01,0.16,0.17
254,0.01,0.15,0.17
255,0.01,0.17,0.29
256,0.01,0.16,0.25
257,0.01,0.18,0.24
258,0.01,0.16,0.21
259,0.01,0.21,0.23
260,0.01,0.16,0.21
261,0.01,0.16,0.18
262,0.01,0.17,0.22
263,0.01,0.16,0.19
264,0.01,0.21,0.19
265,0.01,0.18,0.21
266,0.01,0.18,0.25
267,0.0,0.17,0.23
268,0.01,0.17,0.19
269,0.01,0.18,0.57
270,0.01,0.15,0.19
271,0.01,0.17,0.23
272,0.01,0.15,0.23
273,0.01,0.25,0.57
274,0.01,0.15,0.2
275,0.01,0.19,0.24
276,0.01,0.16,0.23
277,0.01,0.17,0.2
278,0.01,0.2,0.6
279,0.01,0.15,0.22
280,0.01,0.17,0.23
281,0.01,0.16,0.24
282,0.01,0.16,0.19
283,0.01,0.16,0.74
284,0.01,0.14,0.17
285,0.01,0.17,0.23
286,0.01,0.15,0.24
287,0.01,0.17,0.67
288,0.01,0.17,0.2
289,0.01,0.17,0.17
290,0.01,0.16,0.24
291,0.01,0.16,0.18
292,0.01,0.17,0.6
293,0.01,0.17,0.22
294,0.01,0.2,0.23
295,0.01,0.15,0.23
296,0.01,0.15,0.19
297,0.01,0.17,0.61
298,0.01,0.15,0.27
299,0.02,0.15,0.22
300,0.01,0.15,0.23
301,0.01,0.16,0.22
302,0.01,0.16,0.62
303,0.01,0.16,0.22
304,0.01,0.2,0.29
305,0.01,0.15,0.22
306,0.01,0.18,0.21
307,0.01,0.17,0.63
308,0.01,0.16,0.21
309,0.01,0.16,0.2
310,0.0,0.16,0.35
311,0.01,0.16,0.22
312,0.01,0.15,0.22
313,0.01,0.16,0.17
314,0.01,0.18,0.19
315,0.01,0.15,0.22
316,0.01,0.19,0.24
317,0.01,0.19,0.23
318,0.01,0.15,0.17
319,0.01,0.19,0.21
320,0.01,0.18,0.29
321,0.01,0.16,0.22
322,0.01,0.17,0.22
323,0.01,0.15,0.19
324,0.01,0.19,0.22
325,0.01,0.16,0.22
326,0.01,0.22,0.23
327,0.01,0.16,0.19
328,0.01,0.16,0.19
329,0.01,0.19,0.25
330,0.01,0.18,0.23
331,0.01,0.22,0.25
332,0.01,0.17,0.24
333,0.01,0.16,0.19
334,0.01,0.2,0.23
335,0.01,0.15,0.24
336,0.01,0.24,0.23
337,0.01,0.16,0.22
338,0.01,0.16,0.17
339,0.01,0.15,0.24
340,0.01,0.16,0.24
341,0.01,0.21,0.77
342,0.01,0.15,0.23
343,0.01,0.16,0.19
344,0.01,0.15,0.19
345,0.01,0.17,0.22
346,0.01,0.22,0.27
347,0.01,0.16,0.25
348,0.01,0.15,0.29
349,0.01,0.18,0.25
350,0.01,0.13,0.18
351,0.01,0.24,0.54
352,0.0,0.15,0.23
353,0.01,0.16,0.23
354,0.01,0.17,0.24
355,0.01,0.17,0.19
356,0.01,0.21,0.46
357,0.01,0.15,0.25
358,0.01,0.16,0.22
359,0.01,0.16,0.24
360,0.01,0.17,0.19
361,0.01,0.23,0.53
362,0.01,0.16,0.23
363,0.01,0.17,0.23
364,0.01,0.16,0.24
365,0.01,0.15,0.19
366,0.01,0.16,0.53
367,0.0,0.16,0.24
368,0.01,0.16,0.22
369,0.01,0.16,0.24
370,0.01,0.15,0.21
371,0.0,0.18,0.64
372,0.01,0.15,0.22
373,0.01,0.16,0.24
374,0.01,0.17,0.25
375,0.01,0.17,0.2
376,0.01,0.18,0.36
377,0.01,0.15,0.23
378,0.01,0.17,0.24
379,0.0,0.14,0.2
380,0.01,0.17,0.19
381,0.01,0.19,0.54
382,0.01,0.17,0.23
383,0.01,0.17,0.23
384,0.01,0.15,0.25
385,0.01,0.16,0.17
386,0.01,0.2,0.7
387,0.01,0.14,0.19
388,0.01,0.17,0.24
389,0.01,0.17,0.22
390,0.01,0.17,0.23
391,0.01,0.17,0.24
392,0.01,0.16,0.18
393,0.01,0.17,0.2
394,0.01,0.16,0.22
395,0.01,0.16,0.21
396,0.01,0.17,0.22
397,0.01,0.17,0.17
398,0.01,0.16,0.23
399,0.01,0.15,0.21
400,0.01,0.16,0.22
401,0.01,0.19,0.22
402,0.01,0.15,0.18
403,0.01,0.16,0.23
404,0.01,0.16,0.23
405,0.01,0.22,0.28
406,0.01,0.21,0.24
407,0.01,0.17,0.17
408,0.01,0.17,0.23
409,0.01,0.16,0.23
410,0.01,0.22,0.24
411,0.01,0.16,0.22
412,0.01,0.15,0.18
413,0.01,0.15,0.23
414,0.01,0.15,0.17
415,0.01,0.22,0.25
416,0.01,0.16,0.2
417,0.01,0.18,0.18
418,0.01,0.18,0.22
419,0.01,0.16,0.23
420,0.01,0.2,0.26
421,0.0,0.15,0.21
422,0.01,0.16,0.19
423,0.01,0.16,0.21
424,0.01,0.15,0.17
425,0.01,0.21,0.6
426,0.01,0.16,0.24
427,0.01,0.16,0.2
428,0.01,0.16,0.22
429,0.01,0.16,0.17
430,0.01,0.22,0.74
431,0.01,0.17,0.22
432,0.01,0.17,0.24
433,0.01,0.17,0.25
434,0.01,0.16,0.18
435,0.01,0.22,0.52
436,0.01,0.15,0.23
437,0.02,0.18,0.23
438,0.01,0.16,0.24
439,0.01,0.17,0.18
440,0.01,0.2,0.46
441,0.01,0.16,0.2
442,0.0,0.17,0.24
443,0.01,0.17,0.23
444,0.01,0.15,0.18
445,0.01,0.16,0.62
446,0.01,0.16,0.21
447,0.01,0.17,0.24
448,0.01,0.16,0.26
449,0.01,0.15,0.22
450,0.01,0.17,0.67
451,0.01,0.17,0.23
452,0.01,0.16,0.25
453,0.01,0.15,0.23
454,0.01,0.17,0.19
455,0.01,0.17,0.62
456,0.01,0.18,0.25
457,0.01,0.17,0.24
458,0.01,0.16,0.22
459,0.01,0.18,0.19
460,0.01,0.16,0.47
461,0.01,0.15,0.22
462,0.01,0.17,0.19
463,0.01,0.14,0.21
464,0.01,0.17,0.19
465,0.01,0.16,0.23
466,0.01,0.16,0.18
467,0.01,0.17,0.24
468,0.01,0.17,0.21
469,0.01,0.17,0.24
470,0.01,0.18,0.25
471,0.01,0.16,0.19
472,0.01,0.17,0.24
473,0.01,0.15,0.21
474,0.01,0.18,0.23
475,0.01,0.16,0.2
476,0.01,0.16,0.18
477,0.01,0.16,0.22
478,0.01,0.15,0.21
479,0.01,0.16,0.22
480,0.01,0.16,0.23
481,0.01,0.15,0.18
482,0.0,0.16,0.23
483,0.01,0.16,0.32
484,0.01,0.24,0.24
485,0.01,0.18,0.17
486,0.01,0.16,0.16
487,0.01,0.16,0.23
488,0.01,0.15,0.23
489,0.01,0.24,0.51
490,0.01,0.17,0.22
491,0.01,0.15,0.19
492,0.01,0.16,0.22
493,0.01,0.17,0.18
494,0.01,0.23,0.27
495,0.01,0.15,0.17
496,0.01,0.16,0.19
497,0.01,0.17,0.26
498,0.01,0.15,0.22
499,0.01,0.2,0.24
500,0.01,0.14,0.35
501,0.01,0.17,0.22
502,0.01,0.16,0.25
503,0.01,0.15,0.19
504,0.01,0.23,0.54
505,0.01,0.14,0.23
506,0.01,0.19,0.23
507,0.01,0.16,0.24
508,0.01,0.16,0.18
509,0.01,0.23,0.54
510,0.01,0.17,0.23
511,0.01,0.18,0.26
512,0.01,0.16,0.25
513,0.01,0.13,0.17
514,0.01,0.22,0.54
515,0.01,0.16,0.24
516,0.01,0.18,0.19
517,0.01,0.17,0.25
518,0.01,0.15,0.17
519,0.01,0.21,0.68
520,0.01,0.16,0.22
521,0.01,0.19,0.25
522,0.01,0.17,0.24
523,0.01,0.16,0.18
524,0.01,0.17,0.57
525,0.01,0.17,0.24
526,0.01,0.18,0.23
527,0.01,0.19,0.19
528,0.01,0.17,0.18
529,0.01,0.17,0.56
530,0.01,0.19,0.26
531,0.01,0.18,0.26
532,0.01,0.14,0.16
533,0.01,0.12,0.21
534,0.01,0.12,0.34
535,0.01,0.13,0.17
536,0.01,0.12,0.16
537,0.01,0.14,0.16
538,0.01,0.13,0.26
539,0.01,0.12,0.15
540,0.01,0.12,0.17
541,0.0,0.13,0.14
542,0.01,0.16,0.17
543,0.01,0.13,0.15
544,0.01,0.14,0.22
545,0.01,0.16,0.28
546,0.01,0.14,0.16
547,0.01,0.16,0.22
548,0.01,0.19,0.23
549,0.01,0.17,0.23
550,0.01,0.16,0.16
551,0.01,0.18,0.23
552,0.01,0.17,0.23
553,0.01,0.17,0.22
554,0.01,0.17,0.18
555,0.01,0.15,0.21
556,0.01,0.16,0.26
557,0.01,0.18,0.23
558,0.01,0.17,0.22
559,0.01,0.18,0.23
560,0.01,0.15,0.18
561,0.01,0.17,0.22
562,0.01,0.17,0.17
563,0.01,0.21,0.26
564,0.01,0.17,0.23
565,0.01,0.17,0.21
566,0.01,0.19,0.23
567,0.01,0.16,0.23
568,0.01,0.25,0.28
569,0.01,0.14,0.22
570,0.01,0.17,0.22
571,0.01,0.16,0.22
572,0.01,0.19,0.23
573,0.01,0.22,0.28
574,0.01,0.15,0.23
575,0.01,0.15,0.18
576,0.01,0.19,0.25
577,0.01,0.15,0.18
578,0.01,0.24,0.77
579,0.01,0.16,0.22
580,0.01,0.18,0.23
581,0.01,0.16,0.21
582,0.01,0.15,0.2
583,0.01,0.21,0.61
584,0.0,0.16,0.23
585,0.01,0.15,0.23
586,0.01,0.16,0.23
587,0.01,0.17,0.2
588,0.01,0.18,0.6
589,0.01,0.14,0.23
590,0.01,0.18,0.23
591,0.01,0.17,0.22
592,0.01,0.18,0.17
593,0.01,0.22,0.64
594,0.01,0.15,0.25
595,0.01,0.17,0.19
596,0.01,0.16,0.23
597,0.01,0.2,0.21
598,0.01,0.18,0.69
599,0.01,0.17,0.23
600,0.01,0.17,0.25
601,0.01,0.17,0.22
602,0.0,0.16,0.22
603,0.01,0.17,0.43
604,0.01,0.16,0.24
605,0.01,0.19,0.22
606,0.02,0.16,0.23
607,0.01,0.17,0.18
608,0.01,0.16,0.73
609,0.01,0.17,0.22
610,0.01,0.15,0.21
611,0.01,0.15,0.22
612,0.01,0.19,0.19
613,0.01,0.17,0.24
614,0.01,0.16,0.17
615,0.01,0.15,0.22
616,0.01,0.15,0.22
617,0.01,0.17,0.23
618,0.01,0.16,0.23
619,0.01,0.15,0.21
620,0.01,0.17,0.22
621,0.01,0.17,0.21
622,0.01,0.16,0.18
623,0.01,0.16,0.22
624,0.01,0.16,0.18
625,0.01,0.17,0.25
626,0.01,0.14,0.21
627,0.01,0.16,0.23
628,0.01,0.17,0.22
629,0.01,0.17,0.19
630,0.01,0.18,0.21
631,0.01,0.15,0.17
632,0.01,0.18,0.21
633,0.01,0.19,0.22
634,0.01,0.19,0.18
635,0.01,0.18,0.22
636,0.01,0.16,0.22
637,0.01,0.21,0.69
638,0.01,0.16,0.21
639,0.01,0.17,0.18
640,0.01,0.16,0.24
641,0.01,0.16,0.23
642,0.01,0.23,0.24
643,0.01,0.15,0.22
644,0.01,0.17,0.17
645,0.01,0.16,0.23
646,0.01,0.16,0.22
647,0.01,0.2,0.26
648,0.01,0.14,0.23
649,0.01,0.17,0.21
650,0.01,0.16,0.23
651,0.01,0.18,0.18
652,0.01,0.2,0.5
